Character,Game,Words,Lines,Sentences
Monne,Final Fantasy 14,196,7,20
Prison Guard,Final Fantasy 14,195,12,28
Train Passenger,Final Fantasy 14,195,12,20
Mistreated Merchant,Final Fantasy 14,194,8,16
Vigilant Radiant,Final Fantasy 14,194,11,18
Eylgar,Final Fantasy 14,193,7,15
Resistance Soldier,Final Fantasy 14,193,7,18
Mosha-Moa,Final Fantasy 14,193,12,25
Szeli Vantheu,Final Fantasy 14,193,10,20
Qorrloh Teh,Final Fantasy 14,193,36,32
Gisilbehrt,Final Fantasy 14,192,5,13
Estinien,Final Fantasy 14,192,9,12
Ser Grinnaux the Bull,Final Fantasy 14,192,16,29
Szem Djenmai,Final Fantasy 14,192,10,21
Serpent Runner,Final Fantasy 14,191,17,27
Geode,Final Fantasy 14,191,16,28
Merilda,Final Fantasy 14,190,13,20
Obnoxious Merchant,Final Fantasy 14,190,11,20
Noraxia,Final Fantasy 14,190,10,25
Ignace,Final Fantasy 14,190,14,23
Haldrath,Final Fantasy 14,190,8,18
Panicked Knight,Final Fantasy 14,190,10,20
Eluned,Final Fantasy 14,189,8,16
Traveling Merchant,Final Fantasy 14,189,11,20
Fearful Hyur,Final Fantasy 14,188,11,19
Marques,Final Fantasy 14,186,10,18
Grinnaux,Final Fantasy 14,186,11,16
Grey Fleet Miller,Final Fantasy 14,185,11,24
Hyuran Coachman,Final Fantasy 14,185,6,15
Hardyss,Final Fantasy 14,185,10,17
Letter with a Chocobo Carriage Drawing,Final Fantasy 14,185,5,10
Flustered Fellow,Final Fantasy 14,185,11,23
Forever Twenty Summers,Final Fantasy 14,184,8,10
Octavia,Final Fantasy 14,184,11,21
Fearful Voidsent,Final Fantasy 14,184,15,26
Celaine,Final Fantasy 14,184,10,18
Hakuro,Final Fantasy 14,182,10,23
Eybor,Final Fantasy 14,182,7,16
Giott,Final Fantasy 14,182,10,22
Optimistic Amaurotine,Final Fantasy 14,181,7,13
Observation Journal,Final Fantasy 14,181,12,18
Index Page,Final Fantasy 14,181,10,20
Personable Peddler,Final Fantasy 14,181,7,15
Grand Storm Marshal Slafyrsyn,Final Fantasy 14,180,32,40
Weary Citizen,Final Fantasy 14,179,7,18
Outraged Councilor,Final Fantasy 14,177,12,18
Gaius van Baelsar,Final Fantasy 14,176,9,8
Composed Fisher,Final Fantasy 14,176,6,19
Peshekwa,Final Fantasy 14,175,16,19
Off-duty Sergeant,Final Fantasy 14,175,8,19
Ghimthota,Final Fantasy 14,174,3,15
Serpent Private,Final Fantasy 14,174,10,18
Vesper Bay Shopkeep,Final Fantasy 14,174,8,16
Desperate Refugee,Final Fantasy 14,174,9,23
Tsukuyomi,Final Fantasy 14,174,12,20
Pirondierre,Final Fantasy 14,174,8,20
Terminus Stalker,Final Fantasy 14,174,18,28
Nicia,Final Fantasy 14,173,8,11
Wilred,Final Fantasy 14,173,9,19
Rickeman,Final Fantasy 14,173,4,17
Otis Oathbroken,Final Fantasy 14,173,26,34
Daidukul,Final Fantasy 14,172,10,20
Ikaruga,Final Fantasy 14,172,15,25
Letter from an Adventurer,Final Fantasy 14,172,7,13
Temple Chirurgeon,Final Fantasy 14,171,25,30
Hulking Hunter,Final Fantasy 14,171,7,17
Thoarich,Final Fantasy 14,171,10,25
Crystarium Officer,Final Fantasy 14,171,10,20
Marcellinus,Final Fantasy 14,171,10,15
Anxious Old Lady,Final Fantasy 14,171,18,27
Eliminator,Final Fantasy 14,171,35,41
Resolute Resident,Final Fantasy 14,171,6,13
Deryk,Final Fantasy 14,171,8,16
Shiun,Final Fantasy 14,170,8,15
Overflow Beta,Final Fantasy 14,170,14,20
Freedom Fighter,Final Fantasy 14,170,14,20
Hhinek,Final Fantasy 14,169,7,14
Uncowed Girl,Final Fantasy 14,169,11,22
Roger,Final Fantasy 14,168,6,16
Traitorous Flame Soldier,Final Fantasy 14,168,19,27
Scion Marauder,Final Fantasy 14,168,18,22
Kupdi Koop,Final Fantasy 14,168,8,19
"Riqi-Tio, Arkil, or Eirwel",Final Fantasy 14,168,13,26
Poppaea,Final Fantasy 14,168,9,10
Hard-pressed Surveyor,Final Fantasy 14,168,20,27
Hoary Boulder,Final Fantasy 14,167,8,14
Unsavory Character,Final Fantasy 14,167,9,17
Flavien de Fortemps,Final Fantasy 14,167,6,12
Ludovoix,Final Fantasy 14,166,6,15
Tebbe,Final Fantasy 14,166,7,21
Mhul Mul,Final Fantasy 14,166,8,19
Talkative Hhetsarro,Final Fantasy 14,166,5,10
Tansui,Final Fantasy 14,165,11,18
Havak Alvak,Final Fantasy 14,165,7,10
Dazed Citizen,Final Fantasy 14,164,11,19
The Voice of a Growing City,Final Fantasy 14,164,5,8
Dobbin,Final Fantasy 14,164,5,20
Cowering Boy,Final Fantasy 14,163,10,23
Storm Private,Final Fantasy 14,162,8,16
Guidance Node,Final Fantasy 14,162,20,27
Skull Swordman,Final Fantasy 14,162,7,16
Dorbei,Final Fantasy 14,162,9,23
Burly Adventurer,Final Fantasy 14,162,5,10
Melancholy,Final Fantasy 14,162,14,19
Subject Number XXIV,Final Fantasy 14,161,22,36
Anxious Amaurotine,Final Fantasy 14,161,6,13
Alliance Soldier,Final Fantasy 14,161,28,30
Sphene,Final Fantasy 14,161,24,24
Magitek Core,Final Fantasy 14,160,19,17
Lowdy,Final Fantasy 14,159,10,19
Djinabaha,Final Fantasy 14,158,12,19
Swift,Final Fantasy 14,157,4,11
Haribehrt,Final Fantasy 14,157,6,11
Ilberd,Final Fantasy 14,157,6,16
Airship Ticketer,Final Fantasy 14,157,7,9
Mogmug,Final Fantasy 14,157,7,13
Rediroq,Final Fantasy 14,157,7,15
Researcher's Journal,Final Fantasy 14,156,5,7
Ossine,Final Fantasy 14,155,7,16
Lothaire,Final Fantasy 14,155,6,13
Elias,Final Fantasy 14,154,8,13
Harried Harvester,Final Fantasy 14,153,5,10
Ambushed Porter,Final Fantasy 14,152,7,15
Dark Stranger,Final Fantasy 14,152,11,18
Distressed Townsman,Final Fantasy 14,152,17,27
Lue-Reeq,Final Fantasy 14,152,9,17
Barnier,Final Fantasy 14,152,8,12
Genial Guiser,Final Fantasy 14,152,6,13
Traveling Goldsmith,Final Fantasy 14,151,9,16
Arenvald,Final Fantasy 14,151,7,13
Gogg Dwarf,Final Fantasy 14,151,12,16
Pitiable Patron,Final Fantasy 14,151,8,17
Varsra,Final Fantasy 14,150,6,12
Marcus,Final Fantasy 14,150,7,14
Granson,Final Fantasy 14,149,9,18
Chapter I,Final Fantasy 14,149,4,9
Noctis,Final Fantasy 14,148,12,23
Yotsuyu,Final Fantasy 14,147,6,16
Earthenshire Sentry,Final Fantasy 14,147,8,15
Ryssfloh,Final Fantasy 14,146,5,10
Radiant Guardsman,Final Fantasy 14,146,10,16
Kamala,Final Fantasy 14,146,9,17
Crystalline Domicile,Final Fantasy 14,146,11,15
Little Gruff,Final Fantasy 14,146,7,11
Haldbroda,Final Fantasy 14,145,5,9
Chigusa,Final Fantasy 14,145,6,14
Tassos,Final Fantasy 14,145,15,17
Water-watching Endless,Final Fantasy 14,145,7,10
Kipih and Nhagi,Final Fantasy 14,145,7,13
Associate,Final Fantasy 14,145,8,16
Gosetsu Everfall,Final Fantasy 14,144,13,24
Slowfix,Final Fantasy 14,143,9,23
Grynewaht,Final Fantasy 14,143,9,16
Karaku,Final Fantasy 14,143,8,16
Nahbshayra,Final Fantasy 14,143,7,16
Moghan,Final Fantasy 14,142,7,14
Long-forgotten Seashell,Final Fantasy 14,142,16,12
Scion Conjurer,Final Fantasy 14,141,12,19
Brigie,Final Fantasy 14,141,6,13
Imperial Courier,Final Fantasy 14,141,5,16
Solemn Student,Final Fantasy 14,141,6,10
Empty-eyed Voidsent,Final Fantasy 14,141,9,18
Spectral Necromancer,Final Fantasy 14,140,17,25
Caeso,Final Fantasy 14,140,5,10
Aeglyffe,Final Fantasy 14,140,19,24
Impatient Porter,Final Fantasy 14,140,6,15
Silken Grin,Final Fantasy 14,139,6,15
Flame Sergeant,Final Fantasy 14,138,7,14
Rukshs Dheem,Final Fantasy 14,138,12,16
Jebke,Final Fantasy 14,138,6,13
Spirit,Final Fantasy 14,138,16,26
Nonora,Final Fantasy 14,138,7,13
Aranami,Final Fantasy 14,137,5,14
Frightened Au Ra,Final Fantasy 14,137,10,13
Letter with a Shield Drawing,Final Fantasy 14,137,3,6
Lewena,Final Fantasy 14,137,5,12
Amalberga,Final Fantasy 14,136,6,16
Ser Adelphel Brightblade,Final Fantasy 14,136,19,23
Khanga,Final Fantasy 14,136,7,11
Cicidoa,Final Fantasy 14,135,5,9
Djinaleel,Final Fantasy 14,135,6,14
Terminus Wrecker,Final Fantasy 14,135,20,19
Letter from a Guide,Final Fantasy 14,135,4,8
Magicked Broom,Final Fantasy 14,134,15,24
Distillery Worker,Final Fantasy 14,134,7,12
Fresh-faced Tonawawta,Final Fantasy 14,134,7,11
Demanding Daughter,Final Fantasy 14,134,7,21
Roseline,Final Fantasy 14,133,5,16
Ceinguled,Final Fantasy 14,133,3,12
Count Edmont de Fortemps,Final Fantasy 14,133,9,7
Kanilokka,Final Fantasy 14,133,7,11
Dejected Lad,Final Fantasy 14,133,7,11
Bertliana,Final Fantasy 14,132,8,17
Keeled-over Knight,Final Fantasy 14,132,6,12
Formidable Farmer,Final Fantasy 14,132,7,17
Tsuvli,Final Fantasy 14,132,6,10
Bricelt,Final Fantasy 14,131,5,11
Impetuous Warrior,Final Fantasy 14,131,8,20
Sickly Refugee,Final Fantasy 14,131,9,16
Baensyng,Final Fantasy 14,130,4,17
Philia,Final Fantasy 14,130,12,19
Steady Current,Final Fantasy 14,130,6,12
Vanguard Commander R8,Final Fantasy 14,130,25,36
Ifrit,Final Fantasy 14,129,13,17
Tataru,Final Fantasy 14,128,13,12
Arenvald's Voice,Final Fantasy 14,128,8,17
Ardbert/Forename Surname,Final Fantasy 14,128,15,22
Metem,Final Fantasy 14,128,6,12
Urswyrst,Final Fantasy 14,127,6,9
Osha Jaab,Final Fantasy 14,127,4,10
Good King Moggle Mog XII,Final Fantasy 14,127,8,15
Nixie,Final Fantasy 14,127,14,18
Hirase,Final Fantasy 14,126,4,12
Satisfied Endless,Final Fantasy 14,126,6,11
V'mellpa,Final Fantasy 14,125,5,10
Devoted Dragoon,Final Fantasy 14,125,23,23
Qefiraz,Final Fantasy 14,125,8,13
Woman,Final Fantasy 14,125,12,19
Letter with a Quill Drawing,Final Fantasy 14,125,4,8
Papa Gruff,Final Fantasy 14,125,6,14
Steadfast House Fortemps Knight,Final Fantasy 14,124,8,10
Hungry Voidsent,Final Fantasy 14,124,9,18
Landebert,Final Fantasy 14,123,4,12
Eo An,Final Fantasy 14,123,5,12
Beq Lugg,Final Fantasy 14,123,12,17
Mehdjina,Final Fantasy 14,123,8,15
Momolao,Final Fantasy 14,123,8,17
Galatea Magna,Final Fantasy 14,122,18,21
Elderly Boonewa,Final Fantasy 14,122,7,11
Lyulf,Final Fantasy 14,121,4,9
Etfled,Final Fantasy 14,121,5,11
Beves,Final Fantasy 14,121,5,9
Imhudi,Final Fantasy 14,121,6,14
Florid Man,Final Fantasy 14,121,5,10
Wystan,Final Fantasy 14,120,5,9
Gnath soldiers,Final Fantasy 14,120,5,16
Irascible Administrator,Final Fantasy 14,120,5,10
Brutish Memoriate,Final Fantasy 14,120,19,26
Hozan,Final Fantasy 14,119,5,11
Lue-Reeq of the Gilded Bow,Final Fantasy 14,119,13,16
Ruthless Ringleader,Final Fantasy 14,119,9,18
Shiosai,Final Fantasy 14,118,8,17
Adorable Voice,Final Fantasy 14,118,6,17
Hildoise,Final Fantasy 14,118,8,9
Stone Torch,Final Fantasy 14,117,5,10
Seiryu,Final Fantasy 14,117,3,7
Luquelot,Final Fantasy 14,116,5,18
Bernadette,Final Fantasy 14,116,3,9
Villager Woman,Final Fantasy 14,116,7,13
Moonfire Reveler,Final Fantasy 14,116,10,17
C'nangho,Final Fantasy 14,115,2,13
Archbishop Thordan VII,Final Fantasy 14,115,4,8
Livia the Undeterred,Final Fantasy 14,115,15,20
Hhetsarro Trader,Final Fantasy 14,115,11,16
Baldewyn,Final Fantasy 14,114,10,19
Yozan,Final Fantasy 14,114,4,14
Aergmhus,Final Fantasy 14,114,4,9
Naahe,Final Fantasy 14,114,12,23
Aethelthryth,Final Fantasy 14,114,4,9
Mogwin,Final Fantasy 14,113,4,8
Hoplomachus Praetorianus,Final Fantasy 14,113,18,24
Long-forgotten Correspondence,Final Fantasy 14,113,3,6
Trainee Warning Notice,Final Fantasy 14,113,3,6
Raplu,Final Fantasy 14,113,4,6
Wihuwte,Final Fantasy 14,113,8,10
Skyfryn,Final Fantasy 14,112,5,12
Dark Elf,Final Fantasy 14,112,16,19
Zawpya,Final Fantasy 14,112,7,12
Station Specter,Final Fantasy 14,112,8,10
Zuro Roggo,Final Fantasy 14,111,17,18
Temperamental Spirit,Final Fantasy 14,111,12,19
Gulool Ja Ja,Final Fantasy 14,111,22,23
Cheerful Endless,Final Fantasy 14,111,5,11
Letter from a Linguist,Final Fantasy 14,111,4,7
Letter from a Theater Sound Designer,Final Fantasy 14,111,4,5
Rostik Faithsblade,Final Fantasy 14,110,16,21
Dumbfounded Farmer,Final Fantasy 14,110,6,10
Letter from an Etiquette Manual Writer,Final Fantasy 14,110,4,5
Hopeful Confederate,Final Fantasy 14,109,7,16
Amiable Maiden,Final Fantasy 14,109,4,11
Evil Dreamer,Final Fantasy 14,109,20,21
Melancholy Hanu,Final Fantasy 14,109,10,10
Exhausted Man,Final Fantasy 14,109,6,11
Chapter II,Final Fantasy 14,109,4,5
Letter from an Artisan,Final Fantasy 14,109,4,7
Imperial Officer,Final Fantasy 14,108,9,12
Arkasodara mother,Final Fantasy 14,108,20,24
Pessimistic Patron,Final Fantasy 14,108,4,10
Cabin Attendant,Final Fantasy 14,108,10,12
Softspoken Woman,Final Fantasy 14,108,13,15
Ixali Chieftain,Final Fantasy 14,107,10,19
Serpent Personnel Officer,Final Fantasy 14,107,4,11
Brunadier,Final Fantasy 14,107,4,12
Ele,Final Fantasy 14,107,7,12
Namai Farmhand,Final Fantasy 14,107,5,15
N-0253,Final Fantasy 14,107,6,10
Xbr'aal Customer,Final Fantasy 14,107,7,9
Larkin,Final Fantasy 14,107,6,15
Ignemortel,Final Fantasy 14,106,4,8
Biggs and Wedge,Final Fantasy 14,106,6,9
Meticulous Merchant,Final Fantasy 14,106,6,16
The Old One,Final Fantasy 14,106,18,14
Glagg,Final Fantasy 14,106,8,14
Fonjeantaine,Final Fantasy 14,106,6,9
Wymond,Final Fantasy 14,105,5,8
Avere,Final Fantasy 14,105,5,9
Bloisirant,Final Fantasy 14,105,4,10
Angry Coeurl,Final Fantasy 14,105,5,14
Endless Boy,Final Fantasy 14,105,6,12
Chapter III,Final Fantasy 14,105,4,5
Charibert,Final Fantasy 14,104,8,16
Mero Roggo the Damp,Final Fantasy 14,104,10,16
Tieve,Final Fantasy 14,104,5,15
Nibirun,Final Fantasy 14,104,15,18
Resonatorium Guard,Final Fantasy 14,103,4,12
Overwhelmed Laborer,Final Fantasy 14,103,3,8
Hoobigo Merchant,Final Fantasy 14,103,9,12
Middle-aged Tonawawta,Final Fantasy 14,103,4,6
Albreda,Final Fantasy 14,102,3,17
Tozol Huatotl,Final Fantasy 14,102,8,15
Retired Roegadyn,Final Fantasy 14,102,3,5
Aerostat,Final Fantasy 14,102,17,16
Sylviel,Final Fantasy 14,101,4,9
Ligeia,Final Fantasy 14,101,9,8
Pumpkin,Final Fantasy 14,101,5,9
Miqo'te Woman,Final Fantasy 14,100,17,29
Gnath Trio,Final Fantasy 14,100,8,14
Idle Shipwright,Final Fantasy 14,100,7,14
Hyperventilating Engineer,Final Fantasy 14,100,4,10
All,Final Fantasy 14,99,5,10
Anyder Diviner,Final Fantasy 14,99,12,13
Letter from a Theater Set Designer,Final Fantasy 14,99,4,4
Letter from a Gatekeeper,Final Fantasy 14,99,3,5
Ungust,Final Fantasy 14,98,4,9
Iceheart,Final Fantasy 14,98,6,10
Cornenne,Final Fantasy 14,98,3,7
Bebeel Ja,Final Fantasy 14,98,5,7
Town Resident,Final Fantasy 14,98,10,13
Indecisive Man,Final Fantasy 14,98,6,11
Relaxing Woman,Final Fantasy 14,98,5,10
Occupied Administrator,Final Fantasy 14,97,6,10
Protector,Final Fantasy 14,97,16,24
Pawah Mujuuk,Final Fantasy 14,97,9,13
Shifty Voidsent,Final Fantasy 14,97,5,11
Ferry Skipper,Final Fantasy 14,96,4,11
Magnai the Older,Final Fantasy 14,96,9,13
Spectral Thief,Final Fantasy 14,96,9,14
Dated Records,Final Fantasy 14,96,1,3
Dollmaster's Memorandum,Final Fantasy 14,96,2,6
Hoobigo Guardian,Final Fantasy 14,96,7,10
Despairing Alpaca Herder,Final Fantasy 14,96,5,10
Rotten Researcher,Final Fantasy 14,96,9,13
Letter from a Choreographist,Final Fantasy 14,96,3,4
Yuyuhase,Final Fantasy 14,95,4,7
Gnath Drone,Final Fantasy 14,95,6,10
Mature Maid,Final Fantasy 14,95,3,6
Shul Sul,Final Fantasy 14,95,4,7
Faire Reveler,Final Fantasy 14,95,6,12
Jocea,Final Fantasy 14,94,2,6
Rotten Hound,Final Fantasy 14,94,4,9
Gagari,Final Fantasy 14,93,5,8
Cid,Final Fantasy 14,93,5,18
Hihira,Final Fantasy 14,93,2,12
Hannish Citizen,Final Fantasy 14,93,6,8
Genial Endless,Final Fantasy 14,93,5,9
Specimen-observing Endless,Final Fantasy 14,93,7,12
Research Note,Final Fantasy 14,93,2,7
Seseli,Final Fantasy 14,92,5,12
Seih Loskh,Final Fantasy 14,92,5,10
Kohm Noskh,Final Fantasy 14,92,5,12
Troian Bishop,Final Fantasy 14,92,13,16
Elegant Citizen,Final Fantasy 14,92,4,10
Highlander Adventurer,Final Fantasy 14,92,4,10
Temugg Zoh,Final Fantasy 14,91,10,13
Pero Roggo,Final Fantasy 14,91,13,12
Ihanami,Final Fantasy 14,91,6,12
Hoobigo Onlooker,Final Fantasy 14,91,6,9
Serious Sultansworn,Final Fantasy 14,90,4,9
2nd Order Patriarch Za Da,Final Fantasy 14,90,5,14
Allied Communications Officer,Final Fantasy 14,90,4,7
Narrator,Final Fantasy 14,90,10,13
Baenryss,Final Fantasy 14,89,6,10
Dark-haired Man,Final Fantasy 14,89,7,8
Skeptical Researcher,Final Fantasy 14,89,4,6
Chapter IV,Final Fantasy 14,89,4,6
Lyngsath,Final Fantasy 14,89,3,5
Isildaure,Final Fantasy 14,88,4,6
Bright-eyed Mol Girl,Final Fantasy 14,88,4,9
Hannish Refugee,Final Fantasy 14,88,12,14
Qetanur,Final Fantasy 14,88,4,8
Retired Mercenary,Final Fantasy 14,88,4,8
Tattooed Man,Final Fantasy 14,87,6,9
Storm Soldier,Final Fantasy 14,87,10,14
Storm Personnel Officer,Final Fantasy 14,87,4,12
Kyokyoroon,Final Fantasy 14,87,6,22
Maidservant,Final Fantasy 14,87,12,16
Nettled Bandit,Final Fantasy 14,87,6,14
Composed Merchant,Final Fantasy 14,87,5,10
Nero tol Scaeva,Final Fantasy 14,86,13,15
Lionnellais,Final Fantasy 14,86,5,11
Coultenet the Cultured,Final Fantasy 14,86,11,11
Grimacing Naturalist,Final Fantasy 14,86,3,8
Letter from a Message Board Keeper,Final Fantasy 14,86,3,4
Teledji Adeledji,Final Fantasy 14,85,3,9
Faint-hearted Recruit,Final Fantasy 14,85,4,11
Weeping Warbler,Final Fantasy 14,85,6,9
Gulool Ja,Final Fantasy 14,85,8,11
Imperial Pilot,Final Fantasy 14,84,9,17
Rhil Ril,Final Fantasy 14,84,4,10
Dwarf Observer,Final Fantasy 14,84,4,9
Terminus Bellwether,Final Fantasy 14,84,13,16
Cheerful Resident,Final Fantasy 14,84,5,7
Letter from a Theater Director,Final Fantasy 14,84,3,4
Amelain,Final Fantasy 14,83,4,8
Rolfe Hawthorne,Final Fantasy 14,83,2,10
Mournful Mother,Final Fantasy 14,83,6,11
Excitable Student,Final Fantasy 14,83,4,10
P'obyano,Final Fantasy 14,83,4,8
Letter from a Playwright,Final Fantasy 14,83,4,4
Imperial Sentry,Final Fantasy 14,82,6,9
Ala Mhigan Brigade Officer,Final Fantasy 14,82,3,9
Kindly Voice,Final Fantasy 14,82,4,8
G'rah Tia,Final Fantasy 14,82,5,8
Tired Gleaner,Final Fantasy 14,82,3,8
Faded Records,Final Fantasy 14,82,1,5
Stockpiling Citizen,Final Fantasy 14,82,5,11
Carrilaut,Final Fantasy 14,81,5,9
Honami,Final Fantasy 14,81,3,9
Crystarium Medic,Final Fantasy 14,81,8,19
House Leveilleur Steward,Final Fantasy 14,81,8,12
Peatie,Final Fantasy 14,81,5,10
Enthused Man,Final Fantasy 14,81,5,9
Gyges the Great,Final Fantasy 14,80,6,13
Cibleroit,Final Fantasy 14,80,3,10
The Dawn Visage,Final Fantasy 14,80,10,10
Ronkan Dreamer,Final Fantasy 14,80,9,12
Thaffe,Final Fantasy 14,80,4,10
Distracted Researcher,Final Fantasy 14,80,4,5
Landsguard Messenger,Final Fantasy 14,80,6,9
Angered Soldier,Final Fantasy 14,80,8,10
Brazier of Calculations,Final Fantasy 14,80,2,4
J'moldva,Final Fantasy 14,79,11,12
Phrontistery Chirurgeon,Final Fantasy 14,79,5,7
Auri Youth,Final Fantasy 14,79,6,10
Ponderous Mathematician,Final Fantasy 14,79,5,7
Untitled Goldsmith's Journal,Final Fantasy 14,79,4,8
Leih Aliapoh,Final Fantasy 14,79,4,6
Letter from a Festival Committee Member,Final Fantasy 14,79,3,3
Forlemort,Final Fantasy 14,78,3,7
Ninne,Final Fantasy 14,78,2,7
Symme,Final Fantasy 14,78,4,12
Josseloux,Final Fantasy 14,78,3,6
Perky Pawnbroker,Final Fantasy 14,78,2,12
Ondo Youth,Final Fantasy 14,78,7,7
Radiant,Final Fantasy 14,78,15,17
Letter from a Citizen,Final Fantasy 14,78,3,4
Liberation Front Sentry,Final Fantasy 14,77,4,8
Maxima,Final Fantasy 14,77,9,15
Kobold,Final Fantasy 14,77,11,10
Sanduruva,Final Fantasy 14,77,12,14
Magitek Death Machine,Final Fantasy 14,77,15,13
Blonde-haired Woman,Final Fantasy 14,77,6,12
Ratty Bandit,Final Fantasy 14,77,5,7
Level-headed Resident,Final Fantasy 14,77,5,8
Alexandrian Citizen,Final Fantasy 14,77,11,10
Nonchalant Citizen,Final Fantasy 14,77,3,8
Fraeloef,Final Fantasy 14,76,3,7
Bertennant,Final Fantasy 14,76,4,7
Captain Madison,Final Fantasy 14,76,10,21
Edmelle,Final Fantasy 14,76,3,6
Flustered Temple Knight,Final Fantasy 14,76,9,17
Budugan Hunter,Final Fantasy 14,76,9,18
Aenc Thon,Final Fantasy 14,76,7,14
Steadfast Guard,Final Fantasy 14,76,2,6
Nonotta,Final Fantasy 14,76,2,4
Midlander Rising Attendant,Final Fantasy 14,76,4,8
Muffled Voice,Final Fantasy 14,75,5,5
Wilfsunn,Final Fantasy 14,75,5,12
Mettius,Final Fantasy 14,75,3,7
Golbez,Final Fantasy 14,75,5,8
Resting Resident,Final Fantasy 14,75,6,8
Letter from a Theater Composer,Final Fantasy 14,75,3,3
Alianne,Final Fantasy 14,74,4,4
Unnerved Fisher,Final Fantasy 14,74,7,12
Mei-Tatch,Final Fantasy 14,74,3,7
Capering Voidsent,Final Fantasy 14,74,5,6
Sure-voiced Salesman,Final Fantasy 14,73,7,14
Hrotmar,Final Fantasy 14,73,2,5
Administrative Clerk,Final Fantasy 14,73,5,10
Telocanis,Final Fantasy 14,73,10,17
Rhitahtyn the Unshakable,Final Fantasy 14,73,13,17
Temple Guard,Final Fantasy 14,73,7,13
Theophilain,Final Fantasy 14,72,2,7
Equable Amaro,Final Fantasy 14,72,7,12
Fandaniel,Final Fantasy 14,72,7,13
Vrtra,Final Fantasy 14,72,7,14
Anxious Engineer,Final Fantasy 14,72,3,6
Forlorn Voidsent,Final Fantasy 14,72,5,15
Cynical Alexandrian,Final Fantasy 14,72,4,7
Conrad Farsight,Final Fantasy 14,71,7,12
Curious Passerby,Final Fantasy 14,71,5,11
Alboise,Final Fantasy 14,70,2,5
Ananta Battlemaid,Final Fantasy 14,70,3,7
Baidur,Final Fantasy 14,70,3,8
Shenza,Final Fantasy 14,70,7,10
Chambui,Final Fantasy 14,69,3,11
Spectral Paladin,Final Fantasy 14,69,10,13
Zerborlor,Final Fantasy 14,69,3,6
Sozai Rarzai,Final Fantasy 14,68,2,7
Masatsuchi,Final Fantasy 14,68,3,8
Peddler of Pots,Final Fantasy 14,68,7,14
Zasshal,Final Fantasy 14,68,4,8
Paranoid Resident,Final Fantasy 14,68,5,10
Hildelana,Final Fantasy 14,68,3,7
Watchful Wailer,Final Fantasy 14,68,7,10
Lyse,Final Fantasy 14,67,3,10
Leonnie,Final Fantasy 14,67,3,9
Straggler,Final Fantasy 14,67,7,9
Goro Horsemaster,Final Fantasy 14,67,4,9
Fretting Lady,Final Fantasy 14,67,3,7
Jakys Ryder,Final Fantasy 14,66,9,21
Wineburg,Final Fantasy 14,66,3,8
Osric,Final Fantasy 14,66,3,10
Rhitskylt,Final Fantasy 14,66,2,6
Nuzal Hueloc,Final Fantasy 14,66,11,11
Distressed Ancient One,Final Fantasy 14,66,4,6
Mallius,Final Fantasy 14,66,3,6
Civilian,Final Fantasy 14,66,9,9
Listless Boy,Final Fantasy 14,66,4,6
Adalbert,Final Fantasy 14,65,4,6
Dotoli Ciloc,Final Fantasy 14,65,10,8
Sekiseigumi Blade,Final Fantasy 14,65,6,7
Calm Researcher,Final Fantasy 14,65,3,7
Midlander Merchant,Final Fantasy 14,65,6,7
Letter from an Advertising Scribe,Final Fantasy 14,65,3,3
Nunuzofu,Final Fantasy 14,64,3,5
Flame Investigator,Final Fantasy 14,64,3,5
Despondent Engineer,Final Fantasy 14,64,4,7
Lalafellin Gleaner,Final Fantasy 14,64,3,4
Belligerent Boonewa,Final Fantasy 14,64,7,7
Authoritative Voice,Final Fantasy 14,64,8,10
Boy's Mother,Final Fantasy 14,64,5,9
Angry River,Final Fantasy 14,63,3,11
Vajra,Final Fantasy 14,63,7,17
Curious Pixie,Final Fantasy 14,63,3,7
Hyuran Boy,Final Fantasy 14,63,4,10
Yorgerwor,Final Fantasy 14,63,4,8
Affable Townsman,Final Fantasy 14,63,5,7
Alestan,Final Fantasy 14,62,5,7
Alzadaal's Qutrub,Final Fantasy 14,62,14,14
Albus Griffin,Final Fantasy 14,62,6,6
Beaudefoin,Final Fantasy 14,62,3,5
Distracted Citizen,Final Fantasy 14,62,2,6
L'nophlo,Final Fantasy 14,61,3,10
Goudernoux,Final Fantasy 14,61,3,6
Angular Adventurer,Final Fantasy 14,61,2,5
Boorish Bowman,Final Fantasy 14,61,2,7
Rispa,Final Fantasy 14,61,3,6
Armored Chariot,Final Fantasy 14,61,7,7
Disappointed Youth,Final Fantasy 14,61,2,5
Rhotwyda,Final Fantasy 14,60,3,5
Bernard,Final Fantasy 14,60,4,8
Adventurous Frontier Hand,Final Fantasy 14,60,2,4
Round Sentry,Final Fantasy 14,60,3,7
"Aenc Thon, Lord of the Lengthsome Gait",Final Fantasy 14,60,10,12
Vanguard Sentry R7,Final Fantasy 14,60,8,10
Brazier of Eternal Summer,Final Fantasy 14,60,2,4
Terrified Tourist,Final Fantasy 14,60,4,9
Totoruna,Final Fantasy 14,59,3,5
Swaenhylt,Final Fantasy 14,59,2,5
Koharu,Final Fantasy 14,59,3,13
Quickthinx Allthoughts,Final Fantasy 14,59,8,10
Yesui,Final Fantasy 14,59,2,7
Magna Roader,Final Fantasy 14,59,11,10
Watchful Voidsent,Final Fantasy 14,59,5,9
Furcas,Final Fantasy 14,59,11,10
Pelagia,Final Fantasy 14,59,3,9
